,ALL   ,Abgr-t,Abgr-s,Acar  ,Acgld ,Acma-t,Acma-s,Acmi  ,Adbi  ,Agha  ,Agre,Agse,Agte,Aica,Alpr,Amal-t,Amal-s,Apan  ,Aqfo  ,Arel  ,Arme-t,Arme-s,Avfa,Beaq  ,Brco  ,Brla  ,Brpu  ,Brri,Brse,Brst  ,Brvu,CAR ,CORY  ,Caqu  ,Cato  ,Cear  ,Ceum  ,Cevu-s,Cipa  ,Civu  ,Coco-t,Coco-s,Cogr  ,Conu  ,Conu-s,Cost  ,Crca  ,Crdo-s,Crdo-t,Crox  ,Cyec  ,Cyfo  ,Cygr  ,Daca  ,Dacar ,Dagl  ,Deel,Diar  ,Doel  ,Drar  ,Elgl  ,Erla  ,Erog  ,Eucr  ,Feca  ,Fede,Feel,Feme  ,Feoc,Feru  ,Frbr  ,Frcu  ,Frla  ,Frla-s,Frvi  ,GAL   ,Gema  ,Geog  ,Gepu  ,Haob  ,Haun  ,Hehe-s,Heke  ,Hemi  ,Hodi  ,Hola  ,Hyoc  ,Hype  ,Hyra  ,Irte  ,JUNC,Kocr,LILI  ,LOT   ,Laco  ,Lapo  ,Lasa  ,Liap  ,Libu  ,Lico  ,Lide-t,Lide-s,Loci  ,Lope,Lotr  ,Lumu  ,MAL-t ,MAL-s ,Maex  ,Maor  ,Mebu,Mila  ,Mope  ,Mosi  ,Nepa  ,ONGR  ,Osce-s,Osce-t,Osnu  ,Phca  ,Phle  ,Phpr,Phvi  ,Pipo-t,Pipo-s,Plla  ,Poco,Pogl  ,Pogr  ,Pomu  ,Popr  ,Povu  ,Prav-t,Prav-s,Prde-t,Prde-s,Prvu  ,Psme-t,Psme-s,Ptan  ,Ptaq  ,Pyco-t,Pyco-s,Pyfu-t,Pyfu-s,Quga-t,Quga-s,Raoc  ,Rhdi  ,Rhpu-t,Rhpu-s,Risa  ,Rodu  ,Roeg  ,Rogy  ,Romi  ,Ronu  ,Ropi  ,Ruac  ,Rula  ,Rule  ,Rupa  ,Rupr  ,Ruur  ,Sacr  ,Sado  ,Sagr  ,Seja  ,Siho  ,Smra  ,Smse  ,Syal  ,TRIF  ,Taas,Taof  ,Tegr  ,Thoc  ,Toar  ,Trca,Trla  ,Trov  ,Trpr  ,V#1   ,VIOL  ,Valo  ,Viam  ,Viel  ,Vinu  ,Zice  
Stand01,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0.5,182,1,0,53,0,0.5,0,0.5,3,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0
Stand02,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,2,0,0.200000003,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.200000003,0,0,0,0,0,10,2,0,0,0,0,0,0,141,1,0,43,0,0,0,0.5,2,0.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0
Stand03,0,0,0,0,0,0,0.200000003,0,0.5,0,0,0,1,0,0,0,3,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,1,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.200000003,0,0,0,0,0,0,0,0,6,0,0,0,0,265,0.5,0,31,0,0.5,0,0,2,0,0,0.5,0,0,0,0,0,0,49,0,0.5,0,0,0,0,0,4,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0
Stand04,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,23,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.200000003,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.200000003,7,17,0,0,0,0,0.200000003,0,1,0,0,0,0,141,4,0,25,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0
Stand05,0,0.5,0,1,0,27,0.5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.5,0,2,0,0,0,0,0,0,0,0,5,0,0.200000003,0,1,0,0,0,5,7,0,0.5,0,0,0,0,108,0.5,0,0.5,1,3,0,0,3,0,0,0.5,0,0,0,0,32,0,0.5,0,0,0,0,0,1,0,21,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0
Stand06,0,0,0,0,0,2,5,0.5,3,0,0,0,0.5,0,0,0.5,12,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.200000003,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1,2,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,11,0.5,0.200000003,2,0.5,0,0,0,0,0,0,6,0,0,0,0.200000003,134,8,0,13,0,0,0,0,7,0.5,0,1,0,0,0,0,0,0,3,0,0.5,0,0,0,0,0,18,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0
Stand07,0,0,0,0,0,0.5,1,0,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0,39,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.200000003,0,0,0,0,0,0,0.5,0.5,0.200000003,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0.5,130,3,0,24,0,0.5,0,0,0.200000003,0,0,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0.200000003,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0
Stand08,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,3,0,0.200000003,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.200000003,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.200000003,0,0.5,0,0,0,0,0,0,0,0,0,0,0.200000003,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,254,0.5,0,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0.200000003,0,1,0,0,0,0,0,0,50,0,0,0,0,0,7,0,0,0,0,0,0.5,0,1,0,0,0
Stand09,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,6,0.5,0.200000003,0,0,0,0,0,3,3,0,0,0,0,0,0,156,0,0,33,0,0.5,0,0,2,0,0,4,0,0,0,0,0,0.200000003,4,0.5,0.5,0,0,0,0,0,64,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
Stand10,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,7,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.200000003,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,4,0,0,0,0,0.200000003,0,0,2,0,0,0,178,0,0,27,0,0.5,0,0,11,3,0,0,0,0,0.5,0,0,0,7,0.5,0,0,0,0,0,0,56,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0.5,0,0.5,0
