,Elev.m  ,LatAppx ,LongAppx,SlopeDeg,AspClass,AspDeg  ,PDIR    ,HeatLoad,Landform,TopoClas,Drainage,SoilSer ,SoilGrp ,A-horiz ,B1-horiz,B2-horiz,B3-horiz,B-horiz ,GrazCurr,GrazPast,NotLoggd,Que>60cm,LogQ>60 ,TreeHtM ,SppRich ,ThilType,FlxB-0.25
Stand01 ,91,44.48310089,123.3618011,1,3,315,0.910663009,0.914071202,4,6,1,7,3,5,18,86,51,155,1,1,0,5,0.779999971,13.71533108,32,4,1
Stand02 ,106,44.66130066,123.2029037,7,3,315,0.852826595,0.893289208,3,6,2,2,1,20,0,15,0,15,0,1,0,0,0,16.76318169,41,4,1
Stand03 ,152,44.76250076,123.2640991,6,2,180,0.944180489,0.930086553,4,7,4,2,1,18,0,53,0,53,1,1,0,9,1,22.24931335,35,1,1
Stand04 ,91,45.0080986,123.2232971,5,4,90,0.897357285,0.870120287,3,8,2,2,1,5,0,25,107,132,0,0,0,0,0,15.84882641,33,3,1
Stand05 ,152,45.13809967,123.3355026,10,4,0,0.790015757,0.815012336,3,5,3,4,2,20,30,15,0,46,0,0,0,2,0.479999989,24.38281059,32,1,5
Stand06 ,91,44.3973999,123.3215027,5,4,0,0.864995718,0.876277685,3,5,3,4,2,28,0,64,51,114,1,1,0,1,0.300000012,18.89667702,51,3,1
Stand07 ,213,43.90230179,123.3352966,6,3,135,0.938731492,0.904705703,3,6,3,2,1,5,32,79,51,161,1,1,0,6,0.850000024,18.28710747,37,4,1
Stand08 ,106,45.38370132,123.1825027,11,3,315,0.80673033,0.870428741,3,6,3,5,1,8,0,30,76,107,0,0,0,2,0.479999989,22.24931335,30,3,1
Stand09 ,167,45.39820099,123.2029037,10,3,315,0.818045557,0.875035286,3,4,2,5,1,43,0,76,51,127,0,0,0,1,0.300000012,15.84882641,29,3,1
Stand10 ,167,45.32590103,123.1417007,7,1,250,0.905640185,0.940629244,4,8,3,1,1,13,28,0,30,58,0,0,0,5,0.779999971,22.55410004,38,1,1
Stand11 ,182,45.15259933,123.2640991,22,4,90,0.816286027,0.6895504,3,5,4,4,2,13,13,91,0,104,1,1,0,2,0.479999989,22.85888481,35,1,1
Stand12 ,121,45.16699982,123.2845001,14,3,110,0.897934437,0.808538914,2,6,4,3,2,13,33,30,0,64,1,1,0,1,0.300000012,14.62968636,33,4,1
Stand13 ,152,45.15259933,123.2845001,22,4,90,0.816286027,0.6895504,3,5,4,4,2,13,13,64,51,127,1,1,0,1,0.300000012,17.98232269,38,1,1
Stand14 ,152,45.15259933,123.2845001,19,3,315,0.718121648,0.830818117,3,4,4,1,1,28,23,0,152,175,1,1,0,1,0.300000012,14.93447113,45,1,1
Stand15 ,121,45.12369919,123.2029037,20,2,270,0.825609922,0.943757951,3,7,4,1,1,13,0,38,74,112,0,1,0,6,0.850000024,21.03017426,41,3,1
Stand16 ,198,45.21039963,123.2640991,11,4,90,0.870004237,0.803295076,3,5,4,6,2,8,15,41,46,102,0,1,0,14,1.179999948,21.94452858,34,3,1
Stand17 ,76,44.99359894,123.1825027,3,4,0,0.872165561,0.88063097,3,5,1,5,1,23,23,25,46,94,0,0,1,9,1,21.6397438,23,2,17
Stand18 ,137,44.99359894,123.1825027,17,2,270,0.846623421,0.944409788,3,7,4,1,1,27,0,81,0,81,0,0,1,6,0.850000024,19.81103325,22,2,17
Stand19 ,91,44.99359894,123.1825027,23,5,65,0.733084738,0.636489391,3,5,4,1,1,8,23,152,0,175,0,0,1,2,0.479999989,19.2014637,22,1,5
Stand20 ,91,45.0080986,123.2232971,4,5,45,0.875329196,0.865455091,3,5,3,1,1,8,23,51,0,74,0,0,1,1,0.300000012,19.50624847,32,1,1
Stand21 ,91,45.0080986,123.2232971,9,3,120,0.919131279,0.864835858,3,4,3,1,1,18,19,38,0,57,0,0,1,10,1.039999962,21.03017426,29,2,1
Stand22 ,121,45.0080986,123.2232971,1,4,90,0.908846855,0.905438662,4,8,4,1,1,28,13,30,30,74,0,0,1,2,0.479999989,18.28710747,18,3,17
Stand23 ,106,45.0080986,123.2232971,7,3,160,0.945949733,0.913888156,3,6,4,1,1,24,0,28,0,28,0,0,0,0,0,9.448338509,51,4,23
Stand24 ,91,45.0080986,123.2232971,1,3,345,0.898064256,0.902555525,3,6,4,1,1,18,18,0,38,56,0,0,1,10,1.039999962,19.50624847,20,3,17
Stand25 ,91,44.58300018,123.3013992,22,5,35,0.675242364,0.645551682,3,6,4,1,1,5,10,33,0,43,0,0,1,0,0,10.97226429,32,3,5
