,pot,block,pop_cat,treatment,height_aug,width_aug,culm_aug,height_oct,width_oct,culm_oct,ag_biomass,bg_wet,bg_biomass,fr_wet,fr_biomass,num_fr,chloro_avg,sla,ldmc,lt,photo,cond,rt_length,rt_diameter,srl,fr,rdmc,rmr,rsr,culm_growth,height_growth,width_growth,t_biomass
1,101,1,Natural,copper,47,2.65,51,56.52,2.46,95,48.9,772.84,160.127,1.64,0.187,10,5.811111111,0.225132989,0.358152735,12.64776937,7.323242752,0.089186973,52.3049,0.53276,0.003575191,0.0187,0.207192951,0.76605893,3.274580777,0.862745098,0.202553191,-0.071698113,209.027
2,102,1,Natural,zinc,52.2,2.51,62,49.53,2.37,94,42.6,965.46,305.1717,1.05,0.1617,10,6.422222222,0.279196078,0.33274664,10.92197291,9.684039552,0.101879771,70.99578,0.38014,0.0022776,0.01617,0.316089429,0.877505847,7.16365493,0.516129032,-0.051149425,-0.055776892,347.7717
3,103,1,Urban_Mod,control,49.5,4.36,78,56.64,3.8,137,91.7,1521.58,391.3618,3.08,0.3418,10,14.94444445,0.241929517,0.32652856,12.77283408,10.3681924,0.099298986,105.8799538,0.445307692,0.003228184,0.03418,0.257207508,0.810169216,4.267849509,0.756410256,0.144242424,-0.128440367,483.0618
4,104,1,Urban_Int,salt,48.6,3.26,52,56.26,2.24,80,33.4,499.09,114.0014,2.22,0.2214,10,5.455555555,0.20450938,0.389686679,12.59452057,5.75595868,0.048896756,73.74875,0.49499,0.003002085,0.02214,0.228418522,0.773407851,3.413215569,0.538461538,0.157613169,-0.312883436,147.4014
5,105,1,Urban_Mod,copper,47.8,3.35,63,49.53,2.92,92,35.8,733.1611,126.6414,2.2811,0.2914,10,7.422222222,0.22581419,0.370663733,12.00893852,5.880503312,0.05667107,83.90075,0.49618,0.003473151,0.02914,0.172733387,0.779612833,3.537469274,0.46031746,0.036192469,-0.128358209,162.4414
6,106,1,Urban_Mod,zinc,40.1,3.53,26,40.64,1.62,55,23.2,481.5583,61.9301,1.5983,0.1801,11,6.877777778,0.232451194,0.368692213,11.68414196,8.488813489,0.112094161,70.62640909,0.443018182,0.002550038,0.016372727,0.128603536,0.727475946,2.669400862,1.115384615,0.013466334,-0.541076487,85.1301
7,107,1,Urban_Int,copper,55.4,3.44,47,56.52,2.95,99,54.5,645.689,101.7543,1.849,0.2343,10,4.4,0.1961922,0.393834758,12.97162124,8.783073588,0.093945296,73.42239,0.46934,0.003191125,0.02343,0.157590264,0.651209599,1.867051376,1.106382979,0.020216606,-0.14244186,156.2543
8,108,1,Rural,salt,36.2,2.59,32,36.83,2.08,70,19.3,401.615,84.0025,1.715,0.2125,10,4.444444444,0.29744214,0.312560386,10.79468518,9.362410884,0.132995069,79.18837,0.51214,0.002683475,0.02125,0.209161759,0.813170059,4.35246114,1.1875,0.017403315,-0.196911197,103.3025
9,109,1,Natural,salt,42.9,2.96,45,45.21,1.86,89,27.3,444.58,77.7573,1.23,0.1173,10,6.788888889,0.270883877,0.341241923,10.92817472,8.663067406,0.100932926,92.68292,0.31509,0.001265605,0.01173,0.17490058,0.740141808,2.848252747,0.977777778,0.053846154,-0.371621622,105.0573
10,110,1,Urban_Int,zinc,56.5,3.32,56,53.72,2.64,95,55.4,826.15,161.6702,0.6,0.1202,5,5.977777778,0.227552295,0.35936324,12.24341032,6.305206125,0.069605848,56.12062,0.51214,0.002141815,0.02404,0.195691097,0.744783024,2.918234657,0.696428571,-0.04920354,-0.204819277,217.0702
